normalized_address,lat,lng,quality,source,resolved_at
"1 COUNTRY CLUB DR, MELBOURNE, 32940",28.229649386141,-80.683476287646,Exact/R,census,2026-09-03T22:59:10.736Z
"1 COUNTRY CLUB LN, BELLEAIR, 33756",27.942639475663,-82.808683403311,Exact/L,census,2026-09-03T22:59:10.736Z
"1 CURTISS PKWY UNIT 6, MIAMI SPRINGS, 33166",25.822148103187,-80.280708954065,Exact/R,census,2026-09-02T23:42:22.837Z
"1 CYPRESS EDGE DR, PALM COAST, 32164",29.55207489999999,-81.22595969999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 DALI BLVD, ST PETERSBURG, 33701",27.7660219,-82.6314764,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 DOLPHIN DR, SAINT AUGUSTINE, 32080",29.892381214956,-81.30393514333,Exact/L,census,2026-09-03T22:59:10.736Z
"1 DOUG FORD DR, PENSACOLA, 32507",30.328508096065,-87.422101211713,Exact/R,census,2026-09-03T22:59:10.736Z
"1 DOUGLAS ST, HOMOSASSA, 34446",28.740728021992,-82.53550363645,Exact/L,census,2026-09-03T22:59:10.736Z
"1 DOZIER CIR, LEESBURG, 34748",28.806600382121,-81.875261451921,Exact/L,census,2026-09-03T22:59:10.736Z
"1 DUVAL ST, KEY WEST, 33040",24.560638610592,-81.806318340332,Exact/L,census,2026-09-03T22:59:10.736Z
"1 DUVAL STREET, KEY WEST, 33040",24.560638610592,-81.806318340332,Exact/L,census,2026-09-03T22:59:10.736Z
"1 E BROWARD BLVD 108, FORT LAUDERDALE, 33301",26.122393224227,-80.14343817213,Exact/L,census,2026-09-02T23:42:22.837Z
"1 E BROWARD BLVD STE 105, FORT LAUDERDALE, 33301",26.122393224227,-80.14343817213,Exact/L,census,2026-09-02T23:42:22.837Z
"1 EAGLE CREEK DR, NAPLES, 34113",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"1 ESTRADA RD, HOBE SOUND, 33455",27.051505136087,-80.110562259459,Exact/L,census,2026-09-03T22:59:10.736Z
"1 F ST, ST AUGUSTINE, 32080",29.841209486287,-81.265724278504,Exact/R,census,2026-09-03T22:59:10.736Z
"1 FINANCIAL PLAZA, FORT LAUDERDALE, 33301",26.122258623184,-80.139297404301,Non_Exact/R,census,2026-09-02T23:42:22.837Z
"1 FISHER ISLAND DR, FISHER ISLAND, 33109",25.762087831374,-80.145244255826,Non_Exact/L,census,2026-09-02T23:42:22.837Z
"1 FISHER ISLAND DR, MIAMI, 33109",25.762087831374,-80.145244255826,Exact/L,census,2026-09-02T23:42:22.837Z
"1 FLAMINGO LODGE HWY, HOMESTEAD, 33034",25.138527827073,-80.937792165699,Exact/R,census,2026-09-02T23:42:22.837Z
"1 FOREST LAKES BLVD, NAPLES, 34105",26.210657638055,-81.779968048887,Exact/L,census,2026-09-03T22:59:10.736Z
"1 GANNETT PLAZA, MELBOURNE, 32940",28.2253214,-80.6730918,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 GRAND CYPRESS BLVD, ORLANDO, 32836",28.381687517355,-81.508428382552,Exact/R,census,2026-09-03T22:59:10.736Z
"1 GRAND CYPRESS DR, ORLANDO, 32836",28.381687517355,-81.508428382552,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"1 GRAND CYPRESS TRS LLC, ORLANDO, 32836",28.381687517355,-81.508428382552,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"1 GRAND SANDESTIN BLVD, MIRAMAR BEACH, 32550",30.391859661916,-86.324530762509,Exact/L,census,2026-09-03T22:59:10.736Z
"1 HABEN BLVD, PALMETTO, 34221",27.514186231353,-82.562975479408,Exact/L,census,2026-09-03T22:59:10.736Z
"1 INDEPENDENT DR STE 110, JACKSONVILLE, 32202",30.325113737704,-81.657528819577,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"1 INDEPENDENT DR, JACKSONVILLE, 32202",30.325113737704,-81.657528819577,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"1 INDIES DR, TOWN OF ORCHID, 32963",27.770893,-80.41156199999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 JEFF FUGUA BLVD, ORLANDO, 32827",28.4335901,-81.30836699999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 JEFF FUQUA BLVD SPACE C A FB1, ORLANDO, 32827",28.4335901,-81.30836699999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 JEFF FUQUA BLVD, ORLANDO, 32827",28.4335901,-81.30836699999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 KILLEARN CLUB WAY, TALLAHASSEE, 32309",30.522162,-84.2126849,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 KING & BEAR DR, ST AUGUSTINE, 32092",29.960166655426,-81.51720448365,Exact/L,census,2026-09-03T22:59:10.736Z
"1 KING ST 104, SAINT AUGUSTINE, 32084",29.892204037304,-81.311012951189,Exact/R,census,2026-09-03T22:59:10.736Z
"1 KING ST UNIT 209, SAINT AUGUSTINE, 32084",29.892204037304,-81.311012951189,Exact/R,census,2026-09-03T22:59:10.736Z
"1 KNIGHTS KEY BLVD, MARATHON, 33050",24.706837236495,-81.122388515863,Exact/R,census,2026-09-03T22:59:10.736Z
"1 LA GRANDE BLVD, LADY LAKE, 32159",28.937889596059,-81.94113669867,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"1 LEGOLAND WAY, WINTER HAVEN, 33884",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"1 LINCOLN RD, MIAMI BEACH, 33139",25.790803126823,-80.128829997433,Exact/R,census,2026-09-02T23:42:22.837Z
"1 MAIN ST STE 100, TEQUESTA, 33469",26.959229948812,-80.086469910875,Exact/L,census,2026-08-24T03:02:22.366Z
"1 MIAD CONCOURSE H, MIAMI, 33122",25.7940945,-80.2722637,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"1 MIAD TERMINAL J 6J2404, MIAMI, 33122",25.7928514,-80.275109,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"1 MIRACLE MILE, CORAL GABLES, 33134",25.750045,-80.2552625,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"1 N EUSTIS ST, EUSTIS, 32726",28.852773885858,-81.684552375792,Exact/R,census,2026-09-03T22:59:10.736Z
"1 N FT LAUDERDALE BEACH BLVD, FORT LAUDERDALE, 33304",26.122568342851,-80.104152013168,Exact/L,census,2026-09-02T23:42:22.837Z
"1 N FT LAUDERDALE BLVD, FORT LAUDERDALE, 33304",26.122568342851,-80.104152013168,Non_Exact/L,census,2026-09-02T23:42:22.837Z
"1 N LEMON AVE, SARASOTA, 34236",27.33650655312,-82.54071897307,Exact/L,census,2026-09-03T22:59:10.736Z
"1 N NEW WARRINGTON RD, PENSACOLA, 32506",30.40719474377,-87.276953514171,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"1 N OCEAN BLVD SP 102, POMPANO BEACH, 33062",26.232017753201,-80.090991091627,Exact/L,census,2026-08-24T03:02:22.366Z
"1 NE EGLIN PKWY, FT WALTON BEACH, 32548",30.41235780074,-86.604309116823,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"1 NEW MARKET ST, CANTONMENT, 32533",30.534254154626,-87.30943786712,Exact/L,census,2026-09-03T22:59:10.736Z
"1 NW 10TH AVE, GAINESVILLE, 32601",29.661039120531,-82.324583512638,Exact/L,census,2026-09-03T22:59:10.736Z
"1 NW 54 ST 7, MIAMI, 33127",25.8257709,-80.1964421,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"1 NW OAKLAND PARK BLVD, FORT LAUDERDALE, 33311",26.166641601581,-80.146503217438,Non_Exact/R,census,2026-09-02T23:42:22.837Z
"1 OCEAN BLVD, ATLANTIC BEACH, 32233",30.324698731879,-81.396068097936,Exact/R,census,2026-09-03T22:59:10.736Z
"1 OCEAN DR, MIAMI BEACH, 33139",25.768373300509,-80.133245756018,Exact/R,census,2026-09-02T23:42:22.837Z
"1 OLD KING RD, PALM COAST, 32137",29.554674228833,-81.211374666928,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"1 ORANGE AVE, ROCKLEDGE, 32955",28.336012718556,-80.717281857683,Exact/L,census,2026-09-03T22:59:10.736Z
"1 PANTHER PARKWAY, SUNRISE, 33323",26.1593706,-80.3240211,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"1 PANTHER PKWY, SUNRISE, 33323",26.1593706,-80.3240211,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"1 PERFORMANCE PLACE, JACKSONVILLE, 32202",30.325294,-81.6387517,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 PROGRESS PLAZA SUITE 170, ST PETERSBURG, 33701",27.7708887,-82.63629379999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 QUAY BLVD, MIAMI, 33138",25.873764962557,-80.16986454273,Non_Exact/L,census,2026-09-02T23:42:22.837Z
"1 RESIDENCE LN, KEY LARGO, 33037",25.310706,-80.29310319999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 ROYAL PALM POINT, VERO BEACH, 32960",27.6497374,-80.375033,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 S COUNTY RD, PALM BEACH, 33480",26.714890075566,-80.037706864536,Exact/L,census,2026-08-24T03:02:22.366Z
"1 S HARBOR DR, VENICE, 34285",27.0975864,-82.4496362,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 S KROME AVE, HOMESTEAD, 33030",25.46899423673,-80.477293547981,Non_Exact/L,census,2026-09-02T23:42:22.837Z
"1 S ORANGE AVE STE 108, ORLANDO, 32801",28.542080873432,-81.378954929292,Exact/L,census,2026-09-03T22:59:10.736Z
"1 S ORANGE AVE, ORLANDO, 32801",28.542080873432,-81.378954929292,Exact/L,census,2026-09-03T22:59:10.736Z
"1 S ORLANDO AVE UNIT C, COCOA BEACH, 32931",28.318383395259,-80.610025038521,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"1 S PALAFOX PL, PENSACOLA, 32502",30.4126868,-87.2154676,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 S PALMWAY 103, LAKE WORTH, 33460",26.615657701379,-80.050531981265,Exact/R,census,2026-08-24T03:02:22.366Z
"1 S SEMORAN BLVD, ORLANDO, 32807",28.545768358293,-81.310431686628,Exact/L,census,2026-09-03T22:59:10.736Z
"1 SAINT GEORGE ST, ST AUGUSTINE, 32084",29.897669051335,-81.313489141364,Exact/R,census,2026-09-03T22:59:10.736Z
"1 SE 3 AVE STE 160, MIAMI, 33131",25.774202162722,-80.188915448618,Exact/L,census,2026-09-02T23:42:22.837Z
"1 SIMONTON ST, KEY WEST, 33040",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"1 SPEEDWAY BLVD, HOMESTEAD, 33035",25.4534946,-80.41084889999999,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"1 STEINBRENNER DR STE 275, TAMPA, 33614",27.9799292,-82.5072095,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 SW 12 AVE, MIAMI, 33130",25.773482157491,-80.214595991296,Exact/L,census,2026-09-02T23:42:22.837Z
"1 SW 26 AVE, POMPANO BEACH, 33069",26.23046,-80.157254,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"1 SW OSCEOLA ST, STUART, 34994",27.198584567305,-80.252840474152,Exact/L,census,2026-09-03T22:59:10.736Z
"1 TAMPA GENERAL CIR STE H162, TAMPA, 33606",27.9370094,-82.4583567,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 TIAA BANK FIELD DR, JACKSONVILLE, 32202",30.3239169,-81.6373417,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 TIAA BANK FIELD DRIVE, JACKSONVILLE, 32202",30.3239169,-81.6373417,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 TIAA FIELD DR, JACKSONVILLE, 32202",30.3239169,-81.6373417,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 TOWN CENTER RD STE 100, BOCA RATON, 33486",26.3619258,-80.12851549999999,google:ROOFTOP,google,2026-08-24T12:15:51.179Z
"1 TOWN CENTER RD STE 102, BOCA RATON, 33486",26.3622007,-80.12746159999999,google:ROOFTOP,google,2026-08-24T12:15:51.179Z
"1 TROPICANA DR, ST PETERSBURG, 33705",27.7681654,-82.65326759999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 TROPICANA DRIVE, ST PETERSBURG, 33705",27.7681654,-82.65326759999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 W SILVER STAR, OCOEE, 34761",28.573765036327,-81.544293829436,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"1 W UNIVERSITY AVE, GAINESVILLE, 32601",29.651913122688,-82.32506050686,Exact/L,census,2026-09-03T22:59:10.736Z
"1 WASHINGTON AVE, MIAMI BEACH, 33139",25.768309042861,-80.13545431191,Exact/R,census,2026-09-02T23:42:22.837Z
"1 WEST LAS OLAS BLVD, FORT LAUDERDALE, 33301",26.119510520741,-80.143423137224,Exact/R,census,2026-09-02T23:42:22.837Z
"1 WESTWARD DR BAY 2, MIAMI SPRINGS, 33166",25.821397462976,-80.282114597244,Exact/R,census,2026-09-02T23:42:22.837Z
"1 WESTWARD DR BAY 3, MIAMI, 33166",25.821397462976,-80.282114597244,Exact/R,census,2026-09-02T23:42:22.837Z
"1 WESTWARD DR STE 1, MIAMI SPRINGS, 33166",25.821397462976,-80.282114597244,Exact/R,census,2026-09-02T23:42:22.837Z
"1 WHITEHALL WAY, PALM BEACH, 33480",26.714383713588,-80.041615092372,Exact/R,census,2026-08-24T03:02:22.366Z
"1 WHITEHEAD ST, KEY WEST, 33040",24.559192919007,-81.807553144549,Exact/R,census,2026-09-03T22:59:10.736Z
"1 YACHT CLUB DRIVE, PALM COAST, 32137",29.582292502476,-81.214852994883,Exact/R,census,2026-09-03T22:59:10.736Z
"1-75 SOUTH, JENNINGS, 32053",,,google:APPROXIMATE-too-coarse,google,2026-09-04T01:08:56.076Z
"10 ALEXANDRIA BLVD, OVIEDO, 32765",28.652657395753,-81.207938067532,Exact/L,census,2026-09-03T22:59:10.736Z
"10 ANASTASIA BLVD, SAINT AUGUSTINE, 32080",29.892730763142,-81.303776435151,Exact/R,census,2026-09-03T22:59:10.736Z
"10 BAY ESPLANADE, CLEARWATER, 33767",27.984940124168,-82.8275782122,Exact/L,census,2026-09-03T22:59:10.736Z
"10 BLANDING BLVD STE B, ORANGE PARK, 32073",30.18926197003,-81.739537051792,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"10 BOSTON ST, WELAKA, 32193",29.485079605947,-81.674227439722,Exact/L,census,2026-09-03T22:59:10.736Z
"10 CHARLESTON AVE, FORT MEADE, 33841",27.7513928,-81.8019164,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"10 CHIPOLA AVE, DAVENPORT, 33837",28.164634246519,-81.597862715903,Exact/R,census,2026-09-03T22:59:10.736Z
"10 COLLIER BLVD N, MARCO ISLAND, 34145",25.936361334401,-81.731892918914,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"10 DONNER RD, ATLANTIC BEACH, 32233",30.335360390281,-81.414699922157,Exact/L,census,2026-09-03T22:59:10.736Z
"10 E MOWRY DR, HOMESTEAD, 33030",25.469890692561,-80.476760208027,Exact/L,census,2026-09-02T23:42:22.837Z
"10 E NEW HAVEN AVE STE 300, MELBOURNE, 32901",28.078809294083,-80.620703907197,Exact/L,census,2026-09-03T22:59:10.736Z
"10 E PALMETTO PARK RD UNIT 102, BOCA RATON, 33432",26.350435995537,-80.087551678182,Exact/R,census,2026-08-24T03:02:22.366Z
"10 EGLIN PKWY SE, FORT WALTON BEACH, 32548",30.412779049217,-86.604693353479,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"10 HARBOR BLVD, DESTIN, 32541",30.395130464637,-86.513839284779,Exact/L,census,2026-09-03T22:59:10.736Z
"10 HARBOR, DESTIN, 32541",30.395130464637,-86.513839284779,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"10 HUB LN, WATERSOUND, 32461",30.301430755441,-86.064027675496,Exact/R,census,2026-09-03T22:59:10.736Z
"10 INDIAN RIVER BLVD, EDGEWATER, 32141",28.972612648169,-80.89612031377,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"10 MAIN ST, CHATTAHOOCHEE, 32324",30.7044279,-84.8435551,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"10 MARINE ST, SAINT AUGUSTINE, 32084",29.891161810721,-81.310787231438,Exact/R,census,2026-09-03T22:59:10.736Z
"10 N ADAMS ST, QUINCY, 32351",30.588285015737,-84.577035949909,Exact/L,census,2026-09-03T22:59:10.736Z
"10 N OCEAN BLVD, DELRAY BEACH, 33483",26.461911526407,-80.058309187474,Exact/L,census,2026-08-24T03:02:22.366Z
"10 N OCEAN BOULEVARD, DELRAY BEACH, 33483",26.461911526407,-80.058309187474,Exact/L,census,2026-08-24T03:02:22.366Z
"10 NE 1 ST, OCALA, 34470",29.187801226958,-82.136819333253,Exact/R,census,2026-09-03T22:59:10.736Z
"10 NE 27 ST, MIAMI, 33137",25.802507010386,-80.194817799112,Exact/R,census,2026-09-02T23:42:22.837Z
"10 NW SANTA FE BLVD, HIGH SPRINGS, 32643",29.8308348,-82.595173,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"10 PALM HARBOR VILLAGE WAY, PALM COAST, 32137",29.557997170387,-81.214887452382,Exact/R,census,2026-09-03T22:59:10.736Z
"10 PIER 60 DRIVE, CLEARWATER BCH, 33767",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"10 PINE ISLAND RD, N FT MYERS, 33903",26.682185208638,-81.884504661059,Exact/R,census,2026-09-03T22:59:10.736Z
"10 POLK AVE, ARCADIA, 34266",27.2150600747,-81.861953644218,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"10 PRAWN ST, SAINT AUGUSTINE, 32084",29.890222672882,-81.323195562142,Exact/L,census,2026-09-03T22:59:10.736Z
"10 PRESTON CIR, CRAWFORDVILLE, 32327",30.2108831,-84.3652063,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"10 RIVERSIDE AVE, JACKSONVILLE, 32202",30.323972749336,-81.669865167791,Exact/R,census,2026-09-03T22:59:10.736Z
"10 S JEFFERSON ST, PENSACOLA, 32502",30.412853118834,-87.214220520446,Exact/L,census,2026-09-03T22:59:10.736Z
"10 S LEMON AVE UNIT C-1, SARASOTA, 34236",27.336298371339,-82.540712033684,Exact/R,census,2026-09-03T22:59:10.736Z
"10 S MAIN ST, BROOKSVILLE, 34601",28.554779873866,-82.387915157654,Exact/L,census,2026-09-03T22:59:10.736Z
"10 S NEW WARRINGTON RD, PENSACOLA, 32507",30.406221688096,-87.276660264832,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"10 S OCEAN BLVD UNIT 7-8, LAKE WORTH BEACH, 33460",26.614789181119,-80.038626038509,Exact/L,census,2026-08-24T03:02:22.366Z
"10 S OCEAN BLVD, LAKE WORTH, 33460",26.614789181119,-80.038626038509,Exact/L,census,2026-08-24T03:02:22.366Z
"10 S PALAFOX PL, PENSACOLA, 32502",30.412673622266,-87.215285579144,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"10 S PINELLAS AVE, TARPON SPRINGS, 34689",28.146128541465,-82.756690485515,Exact/R,census,2026-09-03T22:59:10.736Z
"10 SE 1ST AVE, FLORIDA CITY, 33034",25.467443494845,-80.47697646516,Exact/R,census,2026-09-02T23:42:22.837Z
"10 SOUTH MAGNOLIA AVE, OCALA, 34471",29.186187026629,-82.137018776912,Exact/R,census,2026-09-03T22:59:10.736Z
"10 SUMMIT OAK PL, DELAND, 32720",29.0574294,-81.30523010000002,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"10 SW 6TH STREET, POMPANO BEACH, 33060",26.222613229097,-80.123483850744,Exact/L,census,2026-09-02T23:42:22.837Z
"10 SW 8 ST, MIAMI, 33130",25.773587833472,-80.207754347892,Non_Exact/R,census,2026-09-02T23:42:22.837Z
"10 SW OSCEOLA ST, STUART, 34994",27.198839042687,-80.253462460196,Exact/R,census,2026-09-03T22:59:10.736Z
"10 SW SOUTH RIVER DR CU-1, MIAMI, 33130",25.773768162708,-80.201879178687,Non_Exact/R,census,2026-09-02T23:42:22.837Z
"10 TOWNE CENTER CIR, SANFORD, 32771",28.8061179,-81.33556759999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"10 VILANO RD, SAINT AUGUSTINE, 32084",29.916576998005,-81.290708895419,Exact/R,census,2026-09-03T22:59:10.736Z
"10 VILLAGE GREEN WAY, KEY BISCAYNE, 33149",25.6916302,-80.164761,google:ROOFTOP,google,2026-09-03T13:08:21.175Z
"10 W DAKIN ST, KISSIMMEE, 34741",28.294116773979,-81.405699809402,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"10 W MERRITT ISLAND CSWY, MERRITT ISLAND, 32952",28.357107979554,-80.700307876215,Exact/R,census,2026-09-03T22:59:10.736Z
"10 W MONUMENT AVE, KISSIMMEE, 34741",28.293396461645,-81.406475839025,Exact/L,census,2026-09-03T22:59:10.736Z
"10-28 NE 40 ST, MIAMI, 33137",25.813308586484,-80.19487000668,Non_Exact/R,census,2026-09-02T23:42:22.837Z
"100 1 AVE SW, STEINHATCHEE, 32359",29.6731505,-83.395355,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"100 1ST AVENUE SOUTHWEST, STEINHATCHEE, 32359",29.6731505,-83.395355,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"100 A S STATE ST, BUNNELL, 32110",29.465780090495,-81.257597136855,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"100 ALMERIA AVE STE 100, CORAL GABLES, 33134",25.747153166973,-80.25664407142,Exact/L,census,2026-09-02T23:42:22.837Z
"100 AMBERSWEET WAY, DAVENPORT, 33897",28.313775241144,-81.669230440764,Exact/L,census,2026-09-03T22:59:10.736Z
"100 ANASTASIA BLVD, SAINT AUGUSTINE, 32080",29.892354265051,-81.302472399019,Exact/R,census,2026-09-03T22:59:10.736Z
"100 ANSIN BLVD, HALLANDALE, 33009",25.985846930275,-80.164213672924,Exact/R,census,2026-09-02T23:42:22.837Z
"100 BALLENISLE CIR, PALM BEACH GARDENS, 33418",26.831942298751,-80.115965034752,Exact/R,census,2026-08-24T03:02:22.366Z
"100 BALLENISLES CIR, PALM BEACH GARDENS, 33418",26.831942298751,-80.115965034752,Non_Exact/R,census,2026-08-24T03:02:22.366Z
"100 BARTRAM OAKS WALK, ST JOHNS, 32259",30.12124077254,-81.623404033501,Exact/L,census,2026-09-03T22:59:10.736Z
"100 BAYVIEW DR, SUNNY ISLES BEACH, 33160",25.922351839479,-80.122457461985,Exact/L,census,2026-09-02T23:42:22.837Z
"100 BEACHWALK CLUB DR, ST JOHNS, 32259",30.084828986662,-81.484485861929,Exact/R,census,2026-09-03T22:59:10.736Z
"100 BISCAYNE BLVD UNIT 104, MIAMI, 33132",25.775330822179,-80.18783450328,Exact/L,census,2026-09-02T23:42:22.837Z
"100 BLUE FISH DRIVE 100, PANAMA CITY BEACH, 32413",30.221445962885,-85.869033118994,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"100 BLUEFISH DR STW 103, PANAMA CITY, 32413",30.221445962885,-85.869033118994,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"100 BRINY AVE, POMPANO BEACH, 33062",26.231013164633,-80.089881314307,Exact/L,census,2026-09-02T23:42:22.837Z
"100 BRUSH FOOT DR, SEBASTIAN, 32958",27.807511723072,-80.48965377604,Exact/R,census,2026-09-03T22:59:10.736Z
